pb_acc	gene
ENSMUST00000000266.9	Ifi202b
ENSMUST00000000514.11	Serpinb8
ENSMUST00000000834.4	Fasl
ENSMUST00000001027.7	Aox1
ENSMUST00000001166.14	Cnnm3
ENSMUST00000001171.13	Lman2l
ENSMUST00000001172.12	Ankrd39
ENSMUST00000001284.13	Usf1
ENSMUST00000001339.6	Rrp15
ENSMUST00000001724.12	Ddx18
ENSMUST00000002533.15	Rgs20
ENSMUST00000003035.12	Disp1
ENSMUST00000003135.14	Elf3
ENSMUST00000003219.14	Cnot11
ENSMUST00000003550.11	Ncstn
ENSMUST00000003554.11	Casq1
ENSMUST00000003818.14	Insig2
ENSMUST00000004133.11	Brinp2
ENSMUST00000004565.15	Ralb
ENSMUST00000004827.14	Ly9
ENSMUST00000004829.13	Cd244a
ENSMUST00000004994.16	Pax3
ENSMUST00000005003.12	Lbr
ENSMUST00000005470.5	Cadm3
ENSMUST00000005817.9	Tomm40l
ENSMUST00000005820.11	Nr1i3
ENSMUST00000005824.12	Apoa2
ENSMUST00000005907.12	Cd247
ENSMUST00000006037.13	Ncoa2
ENSMUST00000006167.13	Odr4
ENSMUST00000006171.16	Prg4
ENSMUST00000006462.14	Aamp
ENSMUST00000006467.14	Arpc2
ENSMUST00000006578.10	Nectin4
ENSMUST00000006579.5	Pfdn2
ENSMUST00000006716.8	Wnt6
ENSMUST00000006718.15	Wnt10a
ENSMUST00000006721.3	Cryba2
ENSMUST00000007949.4	Twist2
ENSMUST00000008280.14	Fhl2
ENSMUST00000008995.15	Hdac4
ENSMUST00000009340.10	Ifi211
ENSMUST00000009356.11	Serpinb2
ENSMUST00000009777.4	G0s2
ENSMUST00000010049.6	Kdsr
ENSMUST00000010319.14	Prox1
ENSMUST00000010434.8	AI597479
ENSMUST00000010597.10	Kansl3
ENSMUST00000010753.14	Psen2
ENSMUST00000012331.7	Mogat1
ENSMUST00000013737.13	Ndufs2
ENSMUST00000013842.12	Pea15a
ENSMUST00000014263.6	Ugt1a6a
ENSMUST00000014370.11	Cacybp
ENSMUST00000015124.15	Tsen15
ENSMUST00000015460.5	Slamf1
ENSMUST00000015499.14	Cd48
ENSMUST00000015628.4	Fam163a
ENSMUST00000015987.10	Rxrg
ENSMUST00000016105.9	Adss2
ENSMUST00000016106.6	Spmip3
ENSMUST00000016309.16	Tmbim1
ENSMUST00000016315.16	Lamb3
ENSMUST00000016323.11	Camk1g
ENSMUST00000016338.15	Hsd11b1
ENSMUST00000016344.9	Syt14
ENSMUST00000016406.14	Sertad4
ENSMUST00000016638.8	Cd34
ENSMUST00000016668.13	Il19
ENSMUST00000016670.9	Dyrk3
ENSMUST00000016672.11	Mapkapk2
ENSMUST00000016673.6	Il10
ENSMUST00000018333.13	Uchl5
ENSMUST00000018337.9	Cdc73
ENSMUST00000018343.10	Ro60
ENSMUST00000018561.14	Myo1b
ENSMUST00000019374.14	Lhx9
ENSMUST00000019843.15	Akt3
ENSMUST00000019861.13	Zfp451
ENSMUST00000020692.7	Btg2
ENSMUST00000023861.5	Serpinb3d
ENSMUST00000023918.13	Ivns1abp
ENSMUST00000023965.8	Cfhr1
ENSMUST00000024639.12	Map2
ENSMUST00000026876.13	Crisp4
ENSMUST00000026879.8	Gdap1
ENSMUST00000026881.11	Ly96
ENSMUST00000027032.6	Rp1
ENSMUST00000027035.10	Sox17
ENSMUST00000027036.11	Lypla1
ENSMUST00000027038.11	Oprk1
ENSMUST00000027040.13	Rb1cc1
ENSMUST00000027044.15	Adhfe1
ENSMUST00000027049.10	Ppp1r42
ENSMUST00000027050.10	Cops5
ENSMUST00000027052.13	Stau2
ENSMUST00000027053.8	Rdh10
ENSMUST00000027056.12	Prex2
ENSMUST00000027057.8	Terf1
ENSMUST00000027059.11	Tfap2b
ENSMUST00000027061.5	Il17a
ENSMUST00000027062.7	Msc
ENSMUST00000027064.8	Tmem14a
ENSMUST00000027065.12	Tmem14a
ENSMUST00000027066.13	Eya1
ENSMUST00000027067.15	Gsta3
ENSMUST00000027068.11	Tram1
ENSMUST00000027071.7	Lactb2
ENSMUST00000027082.11	Crygf
ENSMUST00000027083.7	Pth2r
ENSMUST00000027089.15	Crygc
ENSMUST00000027090.9	Crygb
ENSMUST00000027102.2	4933402D24Rik
ENSMUST00000027103.7	Fastkd2
ENSMUST00000027108.13	Eef1b2
ENSMUST00000027111.15	Ndufs1
ENSMUST00000027112.13	Nrp2
ENSMUST00000027114.6	Maip1
ENSMUST00000027121.15	Rftn2
ENSMUST00000027122.14	Mob4
ENSMUST00000027123.15	Hspd1
ENSMUST00000027125.7	Coq10b
ENSMUST00000027127.14	Sf3b1
ENSMUST00000027128.11	Ccdc150
ENSMUST00000027131.6	Slc39a10
ENSMUST00000027137.11	Slc40a1
ENSMUST00000027139.15	Wdr75
ENSMUST00000027144.8	Cps1
ENSMUST00000027146.9	Ikzf2
ENSMUST00000027149.12	Lancl1
ENSMUST00000027151.12	Myl1
ENSMUST00000027153.6	Acadl
ENSMUST00000027157.10	Rpe
ENSMUST00000027162.12	Icos
ENSMUST00000027164.9	Ctla4
ENSMUST00000027165.3	Cd28
ENSMUST00000027168.12	Raph1
ENSMUST00000027171.12	Carf
ENSMUST00000027172.13	Ica1l
ENSMUST00000027173.15	Wdr12
ENSMUST00000027174.10	Nop58
ENSMUST00000027178.13	Als2
ENSMUST00000027185.11	Stradb
ENSMUST00000027186.12	Trak2
ENSMUST00000027189.15	Casp8
ENSMUST00000027193.9	Ndufb3
ENSMUST00000027198.12	Orc2
ENSMUST00000027202.9	Sgo2a
ENSMUST00000027213.14	Poglut2
ENSMUST00000027214.4	Ercc5
ENSMUST00000027215.12	Tex30
ENSMUST00000027217.9	Ecrg4
ENSMUST00000027226.12	Khdrbs2
ENSMUST00000027230.3	Dnaaf6rt
ENSMUST00000027231.13	Slc9a2
ENSMUST00000027232.15	Ptp4a1
ENSMUST00000027233.9	Slc9a4
ENSMUST00000027237.12	Il18rap
ENSMUST00000027241.11	Il1r1
ENSMUST00000027243.13	Il1r2
ENSMUST00000027247.11	Pdcl3
ENSMUST00000027249.13	Chst10
ENSMUST00000027250.14	Aff3
ENSMUST00000027251.12	Rev1
ENSMUST00000027252.8	Eif5b
ENSMUST00000027254.10	Lyg1
ENSMUST00000027256.12	Mrpl30
ENSMUST00000027257.10	Mitd1
ENSMUST00000027263.14	Stk17b
ENSMUST00000027264.10	Asnsd1
ENSMUST00000027265.10	Osgepl1
ENSMUST00000027266.4	Ormdl1
ENSMUST00000027267.14	Pms1
ENSMUST00000027269.7	Mstn
ENSMUST00000027271.9	Inpp1
ENSMUST00000027277.7	Stat4
ENSMUST00000027279.12	Nabp1
ENSMUST00000027285.13	Unc50
ENSMUST00000027286.7	Coa5
ENSMUST00000027287.11	Inpp4a
ENSMUST00000027288.10	Cnga3
ENSMUST00000027289.14	Vwa3b
ENSMUST00000027290.12	Tmem131
ENSMUST00000027291.7	Zap70
ENSMUST00000027297.11	Plekhb2
ENSMUST00000027298.5	Cfc1
ENSMUST00000027299.10	Prss39
ENSMUST00000027302.14	Ptpn18
ENSMUST00000027303.14	Imp4
ENSMUST00000027312.11	Prim2
ENSMUST00000027315.14	Zfp142
ENSMUST00000027322.14	Rhbdd1
ENSMUST00000027331.3	Tm4sf20
ENSMUST00000027337.15	Fam135a
ENSMUST00000027338.4	Sdhaf4
ENSMUST00000027339.14	Smap1
ENSMUST00000027343.6	Ogfrl1
