PacBio_Accession	Genename_from_GTF	Genename_from_FASTA	ENSG_from_GC	PacBio_Descr_from_GTF	In_GTF	In_FASTA
ENSMUST00000100134.10	Gps1	Gps1	ENSMUSG00000025156	Gps1|ENSMUST00000100134.10|nan	yes	yes
ENSMUST00000026196.14	Got1	Got1	ENSMUSG00000025190	Got1|ENSMUST00000026196.14|nan	yes	yes
ENSMUST00000132161.2	Syne2	Syne2	ENSMUSG00000063450	Syne2|ENSMUST00000132161.2|nan	yes	yes
ENSMUST00000043317.7	Dnajc12	Dnajc12	ENSMUSG00000036764	Dnajc12|ENSMUST00000043317.7|nan	yes	yes
ENSMUST00000101044.9	Atp2b2	Atp2b2	ENSMUSG00000030302	Atp2b2|ENSMUST00000101044.9|nan	yes	yes
ENSMUST00000050234.4	Jrk	Jrk	ENSMUSG00000046380	Jrk|ENSMUST00000050234.4|nan	yes	yes
ENSMUST00000023672.10	Rcan1	Rcan1	ENSMUSG00000022951	Rcan1|ENSMUST00000023672.10|nan	yes	yes
ENSMUST00000105638.9	Prdm16	Prdm16	ENSMUSG00000039410	Prdm16|ENSMUST00000105638.9|nan	yes	yes
ENSMUST00000216559.3	Or10ak14	Or10ak14	ENSMUSG00000095218	Or10ak14|ENSMUST00000216559.3|nan	yes	yes
ENSMUST00000030852.13	Rint1	Rint1	ENSMUSG00000028999	Rint1|ENSMUST00000030852.13|nan	yes	yes
ENSMUST00000108549.2	Pfn1	Pfn1	ENSMUSG00000018293	Pfn1|ENSMUST00000108549.2|nan	yes	yes
ENSMUST00000021564.11	Smoc1	Smoc1	ENSMUSG00000021136	Smoc1|ENSMUST00000021564.11|nan	yes	yes
ENSMUST00000113395.8	Swi5	Swi5	ENSMUSG00000044627	Swi5|ENSMUST00000113395.8|nan	yes	yes
ENSMUST00000099789.5	Or4c115	Or4c115	ENSMUSG00000101480	Or4c115|ENSMUST00000099789.5|nan	yes	yes
ENSMUST00000225942.2	Fam149b	Fam149b	ENSMUSG00000039599	Fam149b|ENSMUST00000225942.2|nan	yes	yes
ENSMUST00000029208.15	Slc13a3	Slc13a3	ENSMUSG00000018459	Slc13a3|ENSMUST00000029208.15|nan	yes	yes
ENSMUST00000249498.1	Gm5799	Gm5799	ENSMUSG00000091477	Gm5799|ENSMUST00000249498.1|nan	yes	yes
ENSMUST00000003550.11	Ncstn	Ncstn	ENSMUSG00000003458	Ncstn|ENSMUST00000003550.11|nan	yes	yes
ENSMUST00000042970.3	Kcnj2	Kcnj2	ENSMUSG00000041695	Kcnj2|ENSMUST00000042970.3|nan	yes	yes
ENSMUST00000211444.2	Grik1	Grik1	ENSMUSG00000022935	Grik1|ENSMUST00000211444.2|nan	yes	yes
ENSMUST00000113275.10	Nox1	Nox1	ENSMUSG00000031257	Nox1|ENSMUST00000113275.10|nan	yes	yes
ENSMUST00000030742.11	Mecr	Mecr	ENSMUSG00000028910	Mecr|ENSMUST00000030742.11|nan	yes	yes
ENSMUST00000038039.3	Tdp2	Tdp2	ENSMUSG00000035958	Tdp2|ENSMUST00000038039.3|nan	yes	yes
ENSMUST00000081593.13	Pgk1	Pgk1	ENSMUSG00000062070	Pgk1|ENSMUST00000081593.13|nan	yes	yes
ENSMUST00000152147.8	Stmp1	Stmp1	ENSMUSG00000073155	Stmp1|ENSMUST00000152147.8|nan	yes	yes
ENSMUST00000236480.2	Ndfip1	Ndfip1	ENSMUSG00000024425	Ndfip1|ENSMUST00000236480.2|nan	yes	yes
ENSMUST00000031281.14	Antxr2	Antxr2	ENSMUSG00000029338	Antxr2|ENSMUST00000031281.14|nan	yes	yes
ENSMUST00000078367.12	Dzip1l	Dzip1l	ENSMUSG00000037784	Dzip1l|ENSMUST00000078367.12|nan	yes	yes
ENSMUST00000090159.13	Smpd4	Smpd4	ENSMUSG00000005899	Smpd4|ENSMUST00000090159.13|nan	yes	yes
ENSMUST00000131414.8	Foxp2	Foxp2	ENSMUSG00000029563	Foxp2|ENSMUST00000131414.8|nan	yes	yes
ENSMUST00000098495.10	Snap91	Snap91	ENSMUSG00000033419	Snap91|ENSMUST00000098495.10|nan	yes	yes
ENSMUST00000213086.2	Cfap20	Cfap20	ENSMUSG00000031796	Cfap20|ENSMUST00000213086.2|nan	yes	yes
ENSMUST00000027874.7	Sele	Sele	ENSMUSG00000026582	Sele|ENSMUST00000027874.7|nan	yes	yes
ENSMUST00000068304.13	Ncoa2	Ncoa2	ENSMUSG00000005886	Ncoa2|ENSMUST00000068304.13|nan	yes	yes
ENSMUST00000142597.2	Ppp5c	Ppp5c	ENSMUSG00000003099	Ppp5c|ENSMUST00000142597.2|nan	yes	yes
