gene_name	transcript_name	transcript_id	gene_id	protein_id	gencode_basic
Xkr4	Xkr4-201	ENSMUST00000070533.5	ENSMUSG00000051951.6	ENSMUSP00000070648.5	True
Rp1	Rp1-202	ENSMUST00000208660.2	ENSMUSG00000025900.14	ENSMUSP00000146439.2	True
Rp1	Rp1-201	ENSMUST00000027032.6	ENSMUSG00000025900.14	ENSMUSP00000027032.5	True
Sox17	Sox17-201	ENSMUST00000027035.10	ENSMUSG00000025902.14	ENSMUSP00000027035.4	True
Sox17	Sox17-208	ENSMUST00000195555.2	ENSMUSG00000025902.14	ENSMUSP00000141894.2	True
Sox17	Sox17-206	ENSMUST00000192650.6	ENSMUSG00000025902.14	ENSMUSP00000142116.2	True
Sox17	Sox17-202	ENSMUST00000116652.8	ENSMUSG00000025902.14	ENSMUSP00000112351.3	True
Mrpl15	Mrpl15-203	ENSMUST00000130201.8	ENSMUSG00000033845.14	ENSMUSP00000114649.2	True
Mrpl15	Mrpl15-206	ENSMUST00000156816.7	ENSMUSG00000033845.14	ENSMUSP00000115512.2	True
Mrpl15	Mrpl15-205	ENSMUST00000146665.3	ENSMUSG00000033845.14	ENSMUSP00000141204.2	True
Lypla1	Lypla1-201	ENSMUST00000027036.11	ENSMUSG00000025903.15	ENSMUSP00000027036.5	True
Lypla1	Lypla1-208	ENSMUST00000150971.8	ENSMUSG00000025903.15	ENSMUSP00000137248.3	True
Lypla1	Lypla1-203	ENSMUST00000119612.9	ENSMUSG00000025903.15	ENSMUSP00000137647.2	True
Lypla1	Lypla1-202	ENSMUST00000115529.8	ENSMUSG00000025903.15	ENSMUSP00000111191.2	True
Gm37988	Gm37988-201	ENSMUST00000155020.2	ENSMUSG00000104217.2	ENSMUSP00000136108.2	True
Tcea1	Tcea1-201	ENSMUST00000081551.14	ENSMUSG00000033813.16	ENSMUSP00000080266.8	True
Tcea1	Tcea1-202	ENSMUST00000165720.3	ENSMUSG00000033813.16	ENSMUSP00000129157.3	True
Rgs20	Rgs20-201	ENSMUST00000002533.15	ENSMUSG00000002459.18	ENSMUSP00000002533.9	True
Rgs20	Rgs20-202	ENSMUST00000118000.8	ENSMUSG00000002459.18	ENSMUSP00000113398.2	True
Rgs20	Rgs20-203	ENSMUST00000119256.8	ENSMUSG00000002459.18	ENSMUSP00000113324.2	True
Atp6v1h	Atp6v1h-205	ENSMUST00000192847.6	ENSMUSG00000033793.13	ENSMUSP00000141636.2	True
Atp6v1h	Atp6v1h-201	ENSMUST00000044369.13	ENSMUSG00000033793.13	ENSMUSP00000040756.8	True
Atp6v1h	Atp6v1h-204	ENSMUST00000192698.3	ENSMUSG00000033793.13	ENSMUSP00000141797.2	True
Oprk1	Oprk1-204	ENSMUST00000160777.8	ENSMUSG00000025905.15	ENSMUSP00000125105.2	True
Oprk1	Oprk1-206	ENSMUST00000239100.2	ENSMUSG00000025905.15	ENSMUSP00000158863.2	True
Oprk1	Oprk1-201	ENSMUST00000027038.11	ENSMUSG00000025905.15	ENSMUSP00000027038.5	True
Oprk1	Oprk1-203	ENSMUST00000160339.2	ENSMUSG00000025905.15	ENSMUSP00000124030.2	True
